code,naam,categorie
AB10,Elandsgrachtbuurt,9
AB11,Passeerdersgrachtbuurt,1
AC01,Langestraat e.o.,9
AC02,Leliegracht e.o.,9
AC03,Felix Meritisbuurt,9
ED02,Kolenkitbuurt-Zuid,2
AC04,Leidsegracht-Noord,2
AD01,Stationsplein e.o.,1
AD02,Hemelrijk,4
AD03,Nieuwendijk-Noord,4
AD04,Spuistraat-Noord,1
AD05,Nieuwe Kerk e.o.,9
AD06,Spuistraat-Zuid,4
AE05,BG-terrein e.o.,9
AD07,Begijnhofbuurt,2
AD08,Kalverdriehoek,1
EA01,Isolatorbuurt,1
AE01,Kop Zeedijk,9
EA02,Contactbuurt,2
EA03,Woon- en Groengebied Sloterdijk,2
EB01,Hemknoop-Zuid,1
EB02,Overbraker Binnenpolder,9
ED03,Laan van Spartaan,4
EB03,Zaanstraat emplacement,4
EB04,Spaarndammerbuurt-Noordwest,1
EB05,Spaarndammerbuurt-Midden,2
EB06,Spaarndammerbuurt-Zuidwest,5
EB07,Spaarndammerbuurt-Noordoost,1
EB08,Zeeheldenbuurt,2
EB09,Westergasfabriek,3
EB10,Spaarndammerbuurt-Zuidoost,9
EC01,Houthavens-West,9
EC02,Houthavens-Oost,1
ED01,Kolenkitbuurt-Noord,1
ED04,Robert Scottbuurt-West,3
EE01,Bosleeuw,9
EE02,Gibraltarbuurt,4
EE03,Bedrijventerrein Landlust,9
EE04,Landlust-Noord,2
EE05,Erasmusparkbuurt-Oost,2
EE06,Landlust-Zuid,1
MG03,Sumatraplantsoenbuurt,1
EF01,Robert Scottbuurt-Oost,5
EF02,Erasmusparkbuurt-West,9
EG01,Bedrijvencentrum Westerkwartier,9
EG03,Markthallen,4
EG04,Marcanti,4
EH01,Westerstaatsman,1
EH02,Fannius Scholtenbuurt,5
MK03,Pampusbuurt-Oost,3
EH03,Staatsliedenbuurt-Noordoost,4
EH04,De Wittenbuurt-Noord,2
EH05,De Wittenbuurt-Zuid,2
EH06,Buyskade e.o.,1
EJ01,Frederik Hendrikbuurt-Noord,4
EJ02,Frederik Hendrikbuurt-Zuidwest,4
EJ03,Frederik Hendrikbuurt-Zuidoost,1
EK01,Mercatorpark,4
EK04,John Franklinbuurt,9
EL01,Pieter van der Doesbuurt,3
EL02,Trompbuurt,5
EL03,Geuzenhofbuurt,9
EM01,Orteliusbuurt-Midden,3
EM02,Balboaplein e.o.,2
EM03,Orteliusbuurt-Zuid,3
MA01,Java-eiland,5
MA02,KNSM-eiland,5
MA03,Oostelijke Handelskade,5
MA04,Rietlanden,5
MA05,Sporenburg,5
MA06,Borneo,5
MA07,Entrepot-Noordwest,3
MA08,Bedrijvengebied Veelaan,4
MA09,Architectenbuurt,2
MA10,Cruquiusbuurt,5
MA11,Bedrijvengebied Zeeburgerkade,3
MB01,Weesperzijde-Noord,9
MB02,Weesperzijde-Midden/Zuid,2
MB03,Parooldriehoek,1
MC01,Oosterparkbuurt-Noordwest,9
MC02,Oosterpark,4
MC03,Oosterparkbuurt-Zuidwest,3
MC04,Oosterparkbuurt-Zuidoost,5
MD01,Transvaalbuurt-West,4
MD02,Transvaalbuurt-Oost,3
ME01,Dapperbuurt-Noord,3
ME02,Dapperbuurt-Zuid,3
ME03,Oostpoort,1
MF01,Timorpleinbuurt-Noord,9
MF02,Timorpleinbuurt-Zuid,5
MF03,Ambonpleinbuurt,3
MG01,Makassarpleinbuurt,2
MG02,Zeeburgerdijk-Oost,2
MG04,Flevopark,2
MH01,Sluisbuurt,3
MH02,Sportheldenbuurt,3
MH03,Oostpunt Zeeburgereiland,1
MH04,Baaibuurt-West,1
MK01,Buiteneiland,5
MH05,Baaibuurt-Oost,3
MH06,Bovendiep/Diemerpark,2
MJ01,Steigereiland-Zuid,5
MJ02,Steigereiland-Noord,2
MJ03,Rieteilanden-West,5
MJ04,Joris Ivenspleinbuurt,5
MJ05,Ed Pelsterparkbuurt,9
MK04,Centrumeiland,9
MK05,Muidenbuurt-West,1
MK06,Muidenbuurt-Oost,3
ML01,Havenkwartier IJburg,2
ML02,Theo van Goghparkbuurt,1
ML03,Rieteiland-Oost,1
MM01,Van der Kunbuurt,3
MM02,De Eenhoorn,3
MM03,Don Bosco,9
MM04,Julianapark,5
MM05,Frankendael,2
MM06,Tuindorp Amstelstation,9
MM07,De Wetbuurt,1
MM08,Tuindorp Frankendael,3
MN01,Linnaeusparkbuurt,3
MN02,Middenmeer-Noord,3
MN03,Middenmeer-Zuid,9
MN04,Science Park-Noord,4
MN05,Science Park-Zuid,5
MN06,Sportpark Middenmeer-Zuid,4
MN07,Sportpark Middenmeer-Noord,5
MN08,Park de Meer,9
MN09,Sportpark Voorland,5
MP01,Drieburg,9
MP02,Nieuwe Oosterbegraafplaats,1
MP03,Betondorp,3
MQ01,De Omval,5
MQ02,Overamstel,3
MQ03,Amstelglorie,4
MQ04,Amstelkwartier-West,3
MQ05,Amstelkwartier-Noord,4
MQ06,Amstelkwartier-Zuid,4
MQ07,Weespertrekvaart,4
EM04,Columbusplein e.o.,2
EN01,Filips van Almondekwartier,5
EN02,Kortenaerkwartier,5
EN03,Van Brakelkwartier,9
EN04,De Wester Quartier,1
EP01,Bellamybuurt-Noord,2
EP02,Bellamybuurt-Zuid,9
EQ01,Da Costabuurt-Noord,3
ER01,Postjeskade e.o.,3
ER02,Paramariboplein e.o.,5
ES01,Lootsbuurt,3
ES02,Borgerbuurt,9
ES03,Da Costabuurt-Zuid,9
AE02,Oude Kerk e.o.,5
ET01,Cremerbuurt-West,5
ET02,Vondelparkbuurt-West,2
EU01,Cremerbuurt-Oost,1
EU02,WG-terrein,5
EU03,Helmersbuurt-Oost,4
EV01,Vondelparkbuurt-Midden,9
EV02,Vondelparkbuurt-Oost,2
AE03,Burgwallen-Oost,4
AE04,Nes e.o.,4
AF01,Oosterdokseiland,4
AF02,Lastage,2
AF03,Scheepvaarthuisbuurt,3
AF04,Rapenburg,5
AF05,Nieuwmarkt,2
AF06,Uilenburg,4
AF07,Valkenburg,9
AF08,Zuiderkerkbuurt,5
AF09,Waterloopleinbuurt,1
AG01,Leidsegracht-Zuid,1
AG02,Geelvinckbuurt,5
AG03,Rembrandtplein e.o.,5
AG04,Spiegelbuurt,9
AG05,Vijzelstraatbuurt,5
AG06,Amstelveldbuurt,5
AH01,Leidsebuurt-Noordwest,9
AH02,Leidsebuurt-Noordoost,5
AH03,Weteringbuurt,9
AH04,Utrechtsebuurt-Zuid,2
AH05,Leidsebuurt-Zuidwest,3
AH06,Leidsebuurt-Zuidoost,3
AH07,Den Texbuurt,2
AH08,Frederikspleinbuurt,1
AJ01,Weesperbuurt,1
AK08,Kazernebuurt,3
AJ02,Plantage,9
AJ03,Sarphatistrook,1
AJ04,Alexanderplein e.o.,4
AK01,Marine-Etablissement,1
AK02,Kattenburg,9
AK03,Wittenburg,1
AK04,Oostenburg,4
AK05,Czaar Peterbuurt,1
AK06,Het Funen,1
AK07,Kadijken,3
NA01,Noorder IJplas,4
NA02,Melkweg/Oostzanerwerf,1
NA03,Walvisbuurt,9
NA04,Twiske-West,5
NA05,Oostzanerdijk,1
NA06,Circus/Kermisbuurt,2
NA07,Molenwijk,3
NB01,Cornelis Douwesterrein-West,4
NB02,Cornelis Douwesterrein-Oost,3
NB03,NDSM terrein,5
NB04,Buiksloterham-Zuid,4
NB05,Buiksloterham-Noord,3
NB06,Klaprozenbuurt,2
NB07,Overhoeks,2
NC01,Tuindorp Oostzaan-West,2
NC02,Tuindorp Oostzaan-Oost,5
NC03,Terrasdorp,2
NC04,De Bongerd,2
ND01,Twiske-Oost,1
ND02,Kadoelen,4
NE01,Banne-Noordwest,3
NE02,Banne-Noordoost,9
NH05,Plan van Gool,3
NE03,Banne-Zuidwest,1
NE04,Banne-Zuidoost,4
NE05,Buiksloterbreek,5
NE06,Marjoleinterrein,1
NF01,Buiksloterdijk-West,9
NF02,Buiksloterdijk-Oost,2
NF03,Nieuwendammerdijk-West,5
NF04,Nieuwendammerdijk-Oost,1
NF05,Nieuwendammerdijk-Zuid,5
NG01,Elzenhagen-Noord,5
NG02,Elzenhagen-Zuid,2
NG03,Nintemanterrein,2
NH01,Buikslotermeer-Noord,1
NH02,De Kleine Wereld,9
NH03,Loenermark,2
NH04,Buikslotermeerplein,3
NH06,Rode Kruisbuurt,5
NJ01,Markengouw-Noord,9
NJ02,Markengouw-Midden,2
